X0;X1;X2;RCE
1656651302.0663238;0.63;0.24;1305.83
1656651602.071719;0.78;0.2;1305.83
1656651902.0771139;0.78;0.2;1305.83
1656652202.082509;0.87;0.21;1305.83
1656652502.0879042;0.98;0.2;1305.83
1656652802.0932994;1.07;0.21;1305.83
1656653102.0986943;1.19;0.81;1305.83
1656653402.1040895;1.22;0.81;1305.83
1656653702.1094847;1.34;0.22;1305.83
1656654002.1148796;1.44;0.22;1305.83
1656654302.1202748;1.54;0.22;1305.83
1656654602.12567;1.66;0.28;1305.83
1656654902.131065;1.75;0.34;975.13
1656655202.13646;1.81;0.34;975.13
1656655502.1418552;1.91;3.1;975.13
1656655802.1472504;2.0;0.3;975.13
1656656102.1526453;2.14;0.95;975.13
1656656402.1580405;2.28;0.29;975.13
1656656702.1634357;2.37;0.71;975.13
1656657002.1688306;2.81;0.69;975.13
1656657302.1742258;1.33;0.35;975.13
1656657602.179621;2.66;0.44;975.13
1656657902.185016;2.97;1.86;975.13
1656658202.190411;3.02;1.38;975.13
1656658502.1958063;3.41;0.73;952.39
1656658802.2012012;3.41;0.73;952.39
1656659102.2065964;2.78;0.54;952.39
1656659402.2119915;2.12;0.66;952.39
1656659702.2173867;1.55;0.57;952.39
1656660002.2227817;2.27;0.1;952.39
1656660302.2281768;1.91;0.2;952.39
1656660602.233572;2.1;0.26;952.39
1656660902.238967;2.0;0.26;952.39
1656661202.244362;2.48;0.15;952.39
1656661502.2497573;2.98;0.49;952.39
1656661802.2551522;4.02;0.0;952.39
1656662102.2605474;2.81;0.38;915.66
1656662402.2659426;3.43;0.42;915.66
1656662702.2713375;3.92;0.28;915.66
1656663002.2767327;4.02;0.25;915.66
1656663302.2821279;4.34;0.24;915.66
1656663602.287523;3.63;0.31;915.66
1656663902.292918;1.98;0.22;915.66
1656664202.2983131;1.67;0.21;915.66
1656664502.3037083;1.59;0.21;915.66
1656664802.3091033;1.62;0.2;915.66
1656665102.3144984;1.82;0.23;915.66
1656665402.3198936;1.73;0.21;915.66
1656665702.3252885;1.59;0.22;865.55
1656666002.3306837;1.66;0.22;865.55
1656666302.336079;1.91;1.47;865.55
1656666602.341474;4.48;0.25;865.55
1656666902.346869;4.49;0.26;865.55
1656667202.3522642;4.49;0.27;865.55
1656667502.3576593;4.49;0.27;865.55
1656667802.3630543;4.49;0.27;865.55
1656668102.3684494;4.49;0.26;865.55
1656668402.3738446;4.48;0.26;865.55
1656668702.3792396;3.78;0.32;865.55
1656669002.3846347;4.49;0.26;865.55
1656669302.39003;1.7;0.23;832.78
1656669602.3954248;2.15;0.25;832.78
1656669902.40082;4.25;0.25;832.78
1656670202.4062152;3.25;0.28;832.78
1656670502.4116104;1.03;0.27;832.78
1656670802.4170053;0.88;0.27;832.78
1656671102.4224005;0.66;0.26;832.78
1656671402.4277956;0.57;0.25;832.78
1656671702.4331906;0.53;0.25;832.78
1656672002.4385858;0.54;0.25;832.78
1656672302.443981;0.52;0.25;832.78
1656672602.4493759;0.49;0.26;832.78
1656672902.454771;0.51;0.25;900.04
1656673202.4601662;0.53;0.25;900.04
1656673502.4655612;0.55;0.24;900.04
1656673802.4709563;0.54;0.25;900.04
1656674102.4763515;0.43;0.24;900.04
1656674402.4817467;0.41;0.25;900.04
1656674702.4871416;0.43;0.24;900.04
1656675002.4925368;0.49;0.24;900.04
1656675302.497932;0.5;0.25;900.04
1656675602.503327;0.48;0.25;900.04
1656675902.508722;0.44;0.25;900.04
1656676202.5141172;0.42;0.24;900.04
1656676502.5195122;0.36;0.24;1002.72
1656676802.5249074;0.25;0.5;1002.72
1656677102.5303025;0.25;0.5;1002.72
1656677402.5356977;0.21;1.65;1002.72
1656677702.5410926;0.18;0.49;1002.72
1656678002.5464878;0.18;0.49;1002.72
1656678302.551883;0.11;0.28;1002.72
1656678602.557278;0.06;0.3;1002.72
1656678902.562673;0.05;0.29;1002.72
1656679202.5680683;0.05;0.4;1002.72
1656679502.5734632;0.06;0.44;1002.72
1656679802.5788584;0.07;0.39;1002.72
1656680102.5842535;0.08;0.35;1166.91
1656680402.5896485;0.15;1.17;1166.91
1656680702.5950437;0.04;1.01;1166.91
1656681002.6004388;0.03;0.77;1166.91
1656681302.605834;0.07;1.16;1166.91
1656681602.611229;0.09;3.44;1166.91
1656681902.616624;0.3;0.44;1166.91
1656682202.6220193;0.28;0.34;1166.91
1656682502.6274142;0.31;0.4;1166.91
1656682802.6328094;0.32;0.34;1166.91
1656683102.6382046;0.33;0.34;1166.91
1656683402.6435995;0.24;0.33;1166.91
1656683702.6489947;0.17;0.32;1467.79
1656684002.6543899;0.12;0.47;1467.79
1656684302.659785;0.07;0.36;1467.79
